genus+species,count
Nocardia Pneumoniae,0
Aspergillus Calidoustus,0
Chryseobacterium Aquifrigidense,0
Eubacterium Callanderi,0
Aromatoleum Aromaticum,0
Brevibacillus Agri,0
Lactobacillus Paralimentarius,0
Scopulariopsis Brevicaulis,0
Psychrobacter Phenylpyruvicus,0
Lactobacillus Equi,0
Pseudomonas Jessenii,0
Sphingomonas Aquatilis,0
Hyphopichia Burtonii,0
Paenibacillus Macerans,0
Sphingomonas Melonis,0
Corynebacterium Massiliense,0
Bacillus Thuringiensis,0
Epicoccum Sorghinum,0
Lysinibacillus Massiliensis,1
Talaromyces Sp,1
Clostridium Sporosphaeroides,1
Trichosporon Montevideense,1
Aspergillus Japonicus,1
Candida Valida,1
Empedobacter Brevis,1
Gardnerella Sp,1
Alistipes Indistinctus,1
Candida Catenulata,1
Candida Lambica,1
Dietzia Sp,1
Aspergillus Aculeatus,1
Microbacterium Arborescens,1
Sphingomonas Desiccabilis,1
Microbacterium Maritypicum,1
Cardiobacterium Hominis,1
Peptoniphilus Massiliensis,1
Botrytis Cinerea,1
Ochrobactrum Tritici,1
Bacillus Muralis,1
Cunninghamella Species,1
Gordonia Terrae,1
Enterobacter Ludwigii,1
Streptomyces Violaceoruber,1
Issatchenkia Terricola,1
Megasphaera Elsdenii,1
Corynebacterium Ureicelerivorans,1
Eurotium Amstelodami,1
Lachnoanaerobaculum Saburreum,1
Trichosporon Jirovecii,1
Filifactor Villosus,1
Porphyromonas Macacae,1
Lachnoanaerobaculum Umeaense,1
Pseudomonas Chlororaphis,1
Pseudomonas Orientalis,1
Pseudomonas Thermotolerans,1
Pseudomonas Trivialis,1
Streptococcus Australis,1
Desulfovibrio Piger,1
Penicillium Species,1
Penicillium Glabrum,1
Listeria Seeligeri,1
Candida Sp,1
Candida Boidinii,1
Candida Carpophila,1
Kytococcus Sedentarius,1
Aspergillus Pseudoglaucus,1
Robinsoniella Peoriensis,1
Aureobasidium Melanogenum,1
Clostridium Hylemonae,1
Bilophila Sp,1
Enterococcus Dispar,1
Selenomonas Sputigena,1
Gemella Bergeri,1
Acidovorax Temperans,1
Mycoplasma Arginini,1
Paenibacillus Urinalis,1
Microbacterium Esteraromaticum,1
Acinetobacter Sp,1
Candida Utilis,1
Lactobacillus Curvatus,1
Sutterella Parvirubra,1
Sphingobacterium Spiritivorum,1
Serratia Ureilytica,1
Bifidobacterium Animalis,1
Chryseobacterium Gambrini,1
Achromobacter Ruhlandii,1
Candida Duobushaemulonii,1
Kosakonia Cowanii,1
Trichosporon Faecale,1
Aspergillus Westerdjikiae,1
Aspergillus Viridinutans,1
Lysinibacillus Sp,1
Rhizobium Larrymoorei,1
Kytococcus Aerolatus,1
Actinomyces Hominis,1
Sporosarcina Luteola,1
Epicoccum Nigrum,1
Neisseria Animaloris,1
Pseudomonas Brenneri,1
Citrobacter Murliniae,1
Elizabethkingia Meningoseptica,1
Lachancea Thermotolerans,1
Chryseobacterium Joostei,1
Clostridium Saudiense,1
Clostridium Butyricum,1
Campylobacter Lanienae,1
Escherichia Albertii,1
Pantoea Calida,1
Prevotella Veroralis,1
Bacillus Weihenstephanensis,1
Bacillus Sonorensis,1
Burkholderia Seminalis,1
Aeromonas Sp,1
Moellerella Wisconsensis,1
Fusarium Equiseti,1
Pseudomonas Azotoformans,1
Fusarium Dimerum,1
Malikia Spinosa,1
Malassezia Furfur,1
Brachybacterium Conglomeratum,1
Acinetobacter Courvalinii,1
Pseudomonas Anguilliseptica,1
Oceanobacillus Kimchii,1
Pseudomonas Cedrina,1
Paenibacillus Provencensis,1
Paeniclostridium Sordellii,1
Meyerozyma Carpophila,1
Actinotignum Urinale,1
Faecalicoccus Pleomorphus,1
Brevibacillus Formosus,1
Neisseria Sp,1
Paenarthrobacter Aurescens,1
Aspergillus Unguis,1
Streptococcus Halichoeri,1
Actinomyces Israelii,1
Parabacteroides Gordonii,1
Parabacteroides Faecis,1
Aeromonas Encheleia,1
Dermabacter Vaginalis,1
Candida Nivariensis,1
Candida Saitoana,1
Aspergillus Montevidensis,1
Acinetobacter Modestus,1
Pseudomonas Corrugata,1
Flavobacterium Lindanitolerans,1
Paenibacillus Amylolyticus,1
Paenibacillus Polymyxa,1
Nesterenkonia Lacusekhoensis,1
Lactobacillus Agilis,1
Aquabacterium Parvum,1
Anaerococcus Degeneri,1
Fastidiosipila Sanguinis,1
Ignatzschineria Indica,1
Staphylococcus Carnosus,1
Staphylococcus Massiliensis,1
Streptococcus Sobrinus,1
Aeromonas Media,1
Nocardia Brasiliensis,1
Pseudomonas Syringae,1
Streptococcus Minor,1
Methylobacterium Rhodesianum,1
Methylobacterium Radiotolerans,1
Paenibacillus Phoenicis,1
Phocaeicola Vulgatus,1
Paraclostridium Bifermentans,1
Enterococcus Asini,1
Helicobacter Cinaedi,1
Mycobacterium Canariasense,1
Apiotrichum Montevideense,1
Peptoniphilus Pacaensis,1
Enterococcus Saccharolyticus,1
Actinomyces Denticolens,1
Trichurus Sp,1
Aggregatibacter Actinomycetemcomitans,1
Microbacterium Oxydans,1
Planomicrobium Okeanokoites,1
Bacillus Oceanisediminis,1
Penicillium Camemberti,1
Brevundimonas Sp,1
Selenomonas Infelix,1
Alistipes Putredinis,1
Schaalia Turicensis,1
Vibrio Furnissii,1
Pseudomonas Synxantha,1
Pseudomonas Thivervalensis,1
Propionibacterium Acidifaciens,1
Varibaculum Anthropi,1
Shewanella Xiamenensis,1
Sphingobacterium Mizutaii,1
Janibacter Hoylei,1
Pichia Occidentalis,1
Haemophilus Paraphrohaemolyticus,1
Sphingobacterium Hotanense,1
Clostridium Sordellii,1
Curtobacterium Albidum,1
Photobacterium Iliopiscarium,1
Acinetobacter Piscicola,1
Fennellia Flavipes,1
Acinetobacter Towneri,1
Brevibacterium Celere,1
Corynebacterium Casei,1
Staphylococcus Gallinarum,1
Paenibacillus Antibioticophila,1
Campylobacter Showae,1
Achromobacter Piechaudii,1
Micrococcus Terreus,1
Clostridium Citroniae,1
Arthrobacter Polychromogenes,1
Microbacterium Phyllosphaerae,1
Bacillus Niacini,1
Bacillus Bataviensis,1
Bacillus Mycoides,1
Fusobacterium Naviforme,1
Dietzia Cinnamea,1
Tsukamurella Pulmonis,1
Campylobacter Hyointestinalis,1
Kazachstania Servazzii,1
Pseudoclavibacter Alba,1
Pseudomonas Vancouverensis,1
Acidovorax Facilis,1
Neisseria Weaveri,1
Chryseobacterium Wanjuense,1
Pasteurella Bettyae,1
Peptoniphilus Lacydonensis,1
Cutaneotrichosporon Jirovecii,1
Corynebacterium Falsenii,1
Desulfovibrio Desulfuricans,1
Talaromyces Ruber,1
Cupriavidus Respiraculi,1
Mycobacterium Salmoniphilum,1
Leucobacter Chironomi,1
Lactobacillus Intestinalis,2
Cupriavidus Gilardii,2
Peptostreptococcus Canis,2
Serratia Ficaria,2
Moraxella Lincolnii,2
Cryptococcus Saitoi,2
Enterococcus Phoeniculicola,2
Enterobacter Xiangfangensis,2
Pseudomonas Graminis,2
Carnobacterium Divergens,2
Exophiala Dermatitidis,2
Erwinia Persicina,2
Mucor Velutinosus,2
Mycobacterium Peregrinum,2
Pasteurella Stomatis,2
Gabonibacter Massiliensis,2
Streptococcus Infantis,2
Ochrobactrum Grignonense,2
Pseudomonas Rhodesiae,2
Pseudomonas Oleovorans,2
Megamonas Sp,2
Lactobacillus Oris,2
Eisenbergiella Massiliensis,2
Pseudallescheria Boydii,2
Bordetella Petrii,2
Staphylococcus Lentus,2
Mycoplasma Alkalescens,2
Fenollaria Massiliensis,2
Curvularia Lunata,2
Acinetobacter Parvus,2
