Method,Accuracy,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S
Original,0.7248376623376623,0.44571428571428573,0.24375,0.3151515151515151,0.771050141911069,0.893640350877193,0.8278313864906044
SMOTE,0.48593073593073594,0.2967128027681661,0.7145833333333333,0.4193154034229829,0.8020231213872833,0.4057017543859649,0.5388349514563107
Undersampling,0.5630411255411255,0.3140261215218626,0.5760416666666667,0.40646821021683205,0.7896640826873385,0.5584795321637427,0.6542496253478912
SMOTEENN,0.3319805194805195,0.2683451028553884,0.9104166666666667,0.4145126867441309,0.8041002277904328,0.1290204678362573,0.22236220472440946
Oversampling,0.5836038961038961,0.3257074051776038,0.5635416666666667,0.4128195345288058,0.7941031941031941,0.5906432748538012,0.6774261161182142
ADASYN,0.46266233766233766,0.2912937347436941,0.7458333333333333,0.41895845523698066,0.802907915993538,0.36330409356725146,0.5002516356316055
SVMSmote,0.5487012987012987,0.31348788198103267,0.6197916666666666,0.4163750874737579,0.7969966629588432,0.5237573099415205,0.6321129245699162
BorderlineSmote,0.49053030303030304,0.30150537634408603,0.7302083333333333,0.4267884322678843,0.8110867979576951,0.4064327485380117,0.5415144874604334
ClusterCentroids,0.7096861471861472,0.41130298273155413,0.27291666666666664,0.32811521603005633,0.7718208564890487,0.8629385964912281,0.8148403796376187
CondensedNearestNeighbours,0.5819805194805194,0.3081967213114754,0.4895833333333333,0.3782696177062374,0.7742975587286964,0.6144005847953217,0.6851436723048706
EditedNearestNeighbours,0.586038961038961,0.3198482932996207,0.5270833333333333,0.3981117230527144,0.7852412488174078,0.6067251461988304,0.6845360824742268
RepeatedEditedNearestNeighbours,0.49323593073593075,0.2918376652986776,0.6666666666666666,0.4059625753250872,0.7870924817032602,0.43238304093567254,0.5581505071950932
AIIKNN,0.5194805194805194,0.29901477832512313,0.6322916666666667,0.4060200668896321,0.7881152460984394,0.47989766081871343,0.5965470240799636
InstanceHardnessThreshold,0.5524891774891775,0.3052749719416386,0.5666666666666667,0.3967906637490883,0.7826541274817137,0.547514619883041,0.6443010752688172
NearMiss,0.5892857142857143,0.3122476446837147,0.48333333333333334,0.3793949304987735,0.7755656108597285,0.6264619883040936,0.6930853214718965
NeighbourhoodCleaningRule,0.5928030303030303,0.32316677482154443,0.51875,0.3982407037185126,0.785614849187935,0.6187865497076024,0.6922919648333674
OneSidedSelection,0.7083333333333334,0.4083850931677019,0.27395833333333336,0.327930174563591,0.7716251638269986,0.8607456140350878,0.813752591568763
TomekLinks,0.7086038961038961,0.40902021772939345,0.27395833333333336,0.32813474734872117,0.7716999672453324,0.8611111111111112,0.8139575056140957
