Method,Accuracy,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S
Original,0.8008658008658008,0.6346153846153846,0.55,0.5892857142857143,0.8491620111731844,0.8888888888888888,0.8685714285714285
SMOTE,0.7770562770562771,0.5642722117202268,0.621875,0.5916749256689792,0.8623957543593631,0.8315058479532164,0.8466691477484183
Undersampling,0.7234848484848485,0.4777936962750716,0.6947916666666667,0.566213921901528,0.8726086956521739,0.7335526315789473,0.7970611596505163
SMOTEENN,0.6247294372294372,0.3924433249370277,0.8114583333333333,0.5290322580645161,0.8942139099941555,0.5592105263157895,0.6881043400044974
Oversampling,0.7646103896103896,0.5412844036697247,0.6145833333333334,0.5756097560975609,0.8580199539524175,0.8172514619883041,0.8371396480718832
ADASYN,0.7765151515151515,0.5622676579925651,0.6302083333333334,0.5943025540275049,0.8645038167938931,0.8278508771929824,0.8457804331590739
SVMSmote,0.7838203463203464,0.5774783445620789,0.625,0.6003001500750376,0.8645088445615355,0.839546783625731,0.8518449842388282
BorderlineSmote,0.7792207792207793,0.5681818181818182,0.625,0.5952380952380952,0.8636363636363636,0.8333333333333334,0.8482142857142857
ClusterCentroids,0.6996753246753247,0.45142487046632124,0.7260416666666667,0.5567092651757188,0.8777881040892194,0.6904239766081871,0.7729132569558101
CondensedNearestNeighbours,0.7426948051948052,0.5034588777863183,0.6822916666666666,0.5793896505970809,0.872651356993737,0.7638888888888888,0.8146560124732021
EditedNearestNeighbours,0.7372835497835498,0.49595885378398236,0.703125,0.5816458423093495,0.8779443254817987,0.7492690058479532,0.8085190297771643
RepeatedEditedNearestNeightbours,0.6672077922077922,0.425,0.796875,0.5543478260869565,0.8971518987341772,0.6217105263157895,0.7344559585492227
AIIKNN,0.6875,0.4418604651162791,0.771875,0.5620022753128555,0.8915304606240714,0.6578947368421053,0.7570977917981072
InstanceHardnessThreshold,0.6747835497835498,0.43270300333704115,0.8104166666666667,0.5641769398114576,0.9041095890410958,0.6271929824561403,0.7406128614587829
NearMiss,0.6128246753246753,0.38242636045931105,0.7979166666666667,0.5170435369557881,0.8854105138806851,0.5478801169590644,0.6769022352675548
NeightbourhoodCleaningRule,0.7532467532467533,0.5194174757281553,0.66875,0.5846994535519126,0.8707317073170732,0.7828947368421053,0.8244803695150116
OneSidedSelection,0.8011363636363636,0.6279863481228669,0.575,0.600326264274062,0.8551650692225772,0.8804824561403509,0.8676391139924365
Tomeklinks,0.8008658008658008,0.6275626423690205,0.5739583333333333,0.5995647442872688,0.85486160397445,0.8804824561403509,0.867482895210659
