Method,Seed,Accuracy,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S
Sin Balanceo,0,0.8024891774891775,0.6536643026004728,0.5585858585858586,0.6023965141612201,0.8466666666666667,0.8917220990391722,0.8686105111591073
Sin Balanceo,1,0.8003246753246753,0.6204379562043796,0.5448717948717948,0.5802047781569966,0.8517745302713987,0.8869565217391304,0.8690095846645367
Sin Balanceo,2,0.7867965367965368,0.6053864168618267,0.5340909090909091,0.5675082327113062,0.8413089373680507,0.876466275659824,0.8585278276481149
Sin Balanceo,3,0.799512987012987,0.6328502415458938,0.5452653485952134,0.5858021240916713,0.847629009762901,0.8888482632541134,0.8677494199535963
Sin Balanceo,4,0.7913961038961039,0.6207701283547258,0.5439672801635992,0.5798365122615804,0.8429024304332512,0.8804267844002943,0.8612560734209106
Sin Balanceo,5,0.799512987012987,0.6072234762979684,0.5778732545649838,0.5921849201981287,0.8601423487544484,0.8741410488245931,0.867085201793722
Sin Balanceo,6,0.7962662337662337,0.6261682242990654,0.5531475748194015,0.5873972602739727,0.8475352112676057,0.8826549321598827,0.864738638404886
Sin Balanceo,7,0.8014069264069265,0.6329849012775842,0.5659397715472482,0.5975877192982456,0.8525573192239859,0.8843761434321259,0.8681752873563219
Sin Balanceo,8,0.7978896103896104,0.6301369863013698,0.5661538461538461,0.5964343598055105,0.85,0.8809261300992283,0.865186789388197
Sin Balanceo,9,0.7846320346320347,0.5953436807095344,0.5547520661157025,0.574331550802139,0.8457408732999284,0.8662023460410557,0.8558493299529156
mean,0.7960227272727273,0.6224966314452821,0.5544647704508557,0.5863683971760771,0.8486257327048236,0.881272054464942,0.8646188663742308
std,0.006267161534187829,0.016769717381215677,0.013068257777296194,0.011058208039433583,0.005380294132334129,0.007544978219124248,0.0045873463843958615
