Method,Accuracy,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S
Original,0.7600108225108225,0.9195402298850575,0.08333333333333333,0.15281757402101243,0.7561651426988085,0.9974415204678363,0.8602048857368007
SMOTE,0.7581168831168831,0.5953757225433526,0.21458333333333332,0.31546707503828486,0.7749253731343284,0.9488304093567251,0.853105488005258
Undersampling,0.6699134199134199,0.41645244215938304,0.675,0.5151033386327504,0.8542056074766355,0.6681286549707602,0.7497949138638228
SMOTEENN,0.3143939393939394,0.2690727699530516,0.9552083333333333,0.4198717948717949,0.8506944444444444,0.089546783625731,0.16203703703703703
Oversampling,0.7729978354978355,0.8853503184713376,0.14479166666666668,0.24888093106535364,0.7680135631534332,0.993421052631579,0.8662948207171315
ADASYN,0.7532467532467533,0.5648648648648649,0.21770833333333334,0.3142857142857143,0.7742032471437161,0.9411549707602339,0.8495546024414384
SVMSmote,0.7738095238095238,0.7844036697247706,0.178125,0.2903225806451613,0.7731454859114434,0.9828216374269005,0.8654650788542002
BorderlineSmote,0.7586580086580087,0.603030303030303,0.20729166666666668,0.3085271317829457,0.7739156268568034,0.9521198830409356,0.8538184201901016
ClusterCentroids,0.38311688311688313,0.2722567287784679,0.821875,0.40902021772939345,0.7857142857142857,0.22916666666666666,0.3548387096774194
CondensedNearestNeighbours,0.7570346320346321,0.5370813397129187,0.46770833333333334,0.5,0.8213286713286714,0.8585526315789473,0.8395282344531808
EditedNearestNeighbours,0.7156385281385281,0.45380710659898477,0.465625,0.4596401028277635,0.8107709332349686,0.8033625730994152,0.8070497521571507
RepeatedEditedNearestNeightbours,0.512987012987013,0.31399468556244464,0.7385416666666667,0.4406463642013673,0.825452016689847,0.4338450292397661,0.5687589841878294
AIIKNN,0.5716991341991342,0.34001027221366203,0.6895833333333333,0.45545235638114895,0.8296169239565466,0.5303362573099415,0.6470457079152732
InstanceHardnessThreshold,0.5441017316017316,0.329251059821008,0.728125,0.45345442750567627,0.8340750158931977,0.47953216374269003,0.608957994894407
NearMiss,0.5054112554112554,0.3030852994555354,0.6958333333333333,0.4222503160556258,0.8042895442359249,0.43859649122807015,0.5676442762535477
NeightbourhoodCleaningRule,0.7800324675324676,0.6745843230403801,0.29583333333333334,0.4112961622013034,0.793587786259542,0.9499269005847953,0.8647479620695392
OneSidedSelection,0.7616341991341992,0.9157894736842105,0.090625,0.16492890995260664,0.7575673424048875,0.9970760233918129,0.8609752248698123
Tomeklinks,0.7619047619047619,0.8921568627450981,0.09479166666666666,0.1713747645951036,0.7582081246521981,0.9959795321637427,0.8609794628751974
