Method,Accuracy,Precision_R,Recall_R,F1_R,Precision_S,Recall_S,F1_S
Original,0.8119588744588745,0.8955223880597015,0.3125,0.46332046332046334,0.8036298720618863,0.9872076023391813,0.8860095128751845
SMOTE,0.7989718614718615,0.737417943107221,0.35104166666666664,0.4756527875793931,0.8076566841617784,0.956140350877193,0.8756485355648536
Undersampling,0.7353896103896104,0.4934402332361516,0.7052083333333333,0.5806174957118353,0.8782271944922547,0.7459795321637427,0.8067193675889328
SMOTEENN,0.5037878787878788,0.32407407407407407,0.8385416666666666,0.46747967479674796,0.8721122112211221,0.38633040935672514,0.5354609929078015
Oversampling,0.8130411255411255,0.8210023866348448,0.35833333333333334,0.49891225525743294,0.8120231919438511,0.9725877192982456,0.8850823216364544
ADASYN,0.7976190476190477,0.7523809523809524,0.32916666666666666,0.4579710144927536,0.8034188034188035,0.9619883040935673,0.8755821689953427
SVMSmote,0.8108766233766234,0.7959183673469388,0.365625,0.5010706638115632,0.8129032258064516,0.9671052631578947,0.8833249874812218
BorderlineSmote,0.8033008658008658,0.7617977528089888,0.353125,0.4825622775800712,0.8089818517379268,0.9612573099415205,0.8785702355102722
ClusterCentroids,0.47429653679653677,0.3080827801639984,0.821875,0.4481681340528259,0.8493392070484581,0.35233918128654973,0.4980625161456988
CondensedNearestNeighbours,0.7727272727272727,0.5574712643678161,0.60625,0.5808383233532934,0.8574660633484162,0.831140350877193,0.844097995545657
EditedNearestNeighbours,0.75,0.5152542372881356,0.6333333333333333,0.5682242990654206,0.8600953895071543,0.7909356725146199,0.824067022086824
RepeatedEditedNearestNeighbours,0.6117424242424242,0.3820168902136115,0.8010416666666667,0.51732256979482,0.8865121806298277,0.5453216374269005,0.675265897261824
AIIKNN,0.6493506493506493,0.4069767441860465,0.765625,0.5314533622559653,0.8809523809523809,0.6085526315789473,0.7198443579766537
InstanceHardnessThreshold,0.6122835497835498,0.3820448877805486,0.7979166666666667,0.5166947723440135,0.8852749852158486,0.5471491228070176,0.676304495143438
NearMiss,0.5576298701298701,0.344684767602393,0.7802083333333333,0.47813597191190554,0.8614576493762311,0.47953216374269003,0.6161070673867105
NeighbourhoodCleaningRule,0.8057359307359307,0.6657534246575343,0.50625,0.5751479289940828,0.8401888064733648,0.9108187134502924,0.8740792704314275
OneSidedSelection,0.8122294372294372,0.8653846153846154,0.328125,0.47583081570996977,0.806422569027611,0.9820906432748538,0.8856295319709954
TomekLinks,0.8122294372294372,0.8556149732620321,0.3333333333333333,0.47976011994003,0.8073449729078868,0.9802631578947368,0.8854407395179927
